Match_Number,Date,Local_Time,UTC_Offset,UTC_Time,Home_Team,Away_Team,Group_Stage,Venue,City,Country
68,2026-06-27,21:00,UTC-5,02:00+1,Jordan,Argentina,Group J,AT&T Stadium,Arlington,USA
69,2026-06-27,19:30,UTC-4,23:30,Colombia,Portugal,Group K,Hard Rock Stadium,Miami Gardens,USA
70,2026-06-27,19:30,UTC-4,23:30,DR Congo,Uzbekistan,Group K,Mercedes-Benz Stadium,Atlanta,USA
71,2026-06-27,17:00,UTC-4,21:00,Panama,England,Group L,MetLife Stadium,East Rutherford,USA
72,2026-06-27,17:00,UTC-4,21:00,Croatia,Ghana,Group L,Lincoln Financial Field,Philadelphia,USA
73,2026-06-28,12:00,UTC-7,19:00,Runner-up A,Runner-up B,Round of 32,SoFi Stadium,Inglewood,USA
74,2026-06-29,16:30,UTC-4,20:30,Winner E,3rd A/B/C/D/F,Round of 32,Gillette Stadium,Foxborough,USA
75,2026-06-29,19:00,UTC-6,01:00+1,Winner F,Runner-up C,Round of 32,Estadio BBVA,Guadalupe,Mexico
76,2026-06-29,12:00,UTC-5,17:00,Winner C,Runner-up F,Round of 32,NRG Stadium,Houston,USA
77,2026-06-30,17:00,UTC-4,21:00,Winner I,3rd C/D/F/G/H,Round of 32,MetLife Stadium,East Rutherford,USA
78,2026-06-30,12:00,UTC-5,17:00,Runner-up E,Runner-up I,Round of 32,AT&T Stadium,Arlington,USA
79,2026-06-30,19:00,UTC-6,01:00+1,Winner A,3rd C/E/F/H/I,Round of 32,Estadio Azteca,Mexico City,Mexico
80,2026-07-01,12:00,UTC-4,16:00,Winner L,3rd E/H/I/J/K,Round of 32,Mercedes-Benz Stadium,Atlanta,USA
81,2026-07-01,17:00,UTC-7,00:00+1,Winner D,3rd B/E/F/I/J,Round of 32,Levi's Stadium,Santa Clara,USA
82,2026-07-01,13:00,UTC-7,20:00,Winner G,3rd A/E/H/I/J,Round of 32,Lumen Field,Seattle,USA
83,2026-07-02,19:00,UTC-4,23:00,Runner-up K,Runner-up L,Round of 32,BMO Field,Toronto,Canada
84,2026-07-02,12:00,UTC-7,19:00,Winner H,Runner-up J,Round of 32,SoFi Stadium,Inglewood,USA
85,2026-07-02,20:00,UTC-7,03:00+1,Winner B,3rd E/F/G/I/J,Round of 32,BC Place,Vancouver,Canada
86,2026-07-03,18:00,UTC-4,22:00,Winner J,Runner-up H,Round of 32,Hard Rock Stadium,Miami Gardens,USA
87,2026-07-03,20:30,UTC-5,01:30+1,Winner K,3rd D/E/I/J/L,Round of 32,Arrowhead Stadium,Kansas City,USA
88,2026-07-03,13:00,UTC-5,18:00,Runner-up D,Runner-up G,Round of 32,AT&T Stadium,Arlington,USA
89,2026-07-04,17:00,UTC-4,21:00,Winner 74,Winner 77,Round of 16,Lincoln Financial Field,Philadelphia,USA
90,2026-07-04,12:00,UTC-5,17:00,Winner 73,Winner 75,Round of 16,NRG Stadium,Houston,USA
91,2026-07-05,16:00,UTC-4,20:00,Winner 76,Winner 78,Round of 16,MetLife Stadium,East Rutherford,USA
92,2026-07-05,18:00,UTC-6,00:00+1,Winner 79,Winner 80,Round of 16,Estadio Azteca,Mexico City,Mexico
93,2026-07-06,14:00,UTC-5,19:00,Winner 83,Winner 84,Round of 16,AT&T Stadium,Arlington,USA
94,2026-07-06,17:00,UTC-7,00:00+1,Winner 81,Winner 82,Round of 16,Lumen Field,Seattle,USA
95,2026-07-07,12:00,UTC-4,16:00,Winner 86,Winner 88,Round of 16,Mercedes-Benz Stadium,Atlanta,USA
96,2026-07-07,13:00,UTC-7,20:00,Winner 85,Winner 87,Round of 16,BC Place,Vancouver,Canada
97,2026-07-09,16:00,UTC-4,20:00,Winner 89,Winner 90,Quarterfinal,Gillette Stadium,Foxborough,USA
98,2026-07-10,12:00,UTC-7,19:00,Winner 93,Winner 94,Quarterfinal,SoFi Stadium,Inglewood,USA
99,2026-07-11,17:00,UTC-4,21:00,Winner 91,Winner 92,Quarterfinal,Hard Rock Stadium,Miami Gardens,USA
100,2026-07-11,20:00,UTC-5,01:00+1,Winner 95,Winner 96,Quarterfinal,Arrowhead Stadium,Kansas City,USA
101,2026-07-14,14:00,UTC-5,19:00,Winner 97,Winner 98,Semifinal,AT&T Stadium,Arlington,USA
102,2026-07-15,15:00,UTC-4,19:00,Winner 99,Winner 100,Semifinal,Mercedes-Benz Stadium,Atlanta,USA
103,2026-07-18,17:00,UTC-4,21:00,Loser 101,Loser 102,Third-place Match,Hard Rock Stadium,Miami Gardens,USA
104,2026-07-19,15:00,UTC-4,19:00,Winner 101,Winner 102,Final,MetLife Stadium,East Rutherford,USA
